Start Point,End Point,Spoofed Point,Basic Route Length,Spoofed Route Length,Overlapping Route Length,Overlap Percentage
"(-0.1361194940944528, 51.53223428985631)","(-0.1415803676743057, 51.51751141829232)","(-0.1361778618247615, 51.532792301115705)",2246.863,2246.863,2246.863,100.0
"(-0.142927131633337, 51.51831736785744)","(-0.12445683023273421, 51.51627890491781)","(-0.1430732736435332, 51.51821420885835)",1844.4820000000002,1774.073,1774.073,96.1827223036061
"(-0.12559028842165024, 51.51773503301437)","(-0.14341109483250797, 51.52565709666037)","(-0.12648617871661805, 51.5179509782052)",2681.4300000000003,1930.219,779.106,29.055615846768323
"(-0.1447385878634786, 51.52489516427056)","(-0.14372386829246753, 51.52598677865647)","(-0.1442337082854525, 51.52487564274876)",194.66900000000004,159.645,159.645,82.00843483040443
"(-0.12966405326997305, 51.52770924164696)","(-0.13579082455014413, 51.51762972236533)","(-0.12810124074788432, 51.52629449968102)",1846.7909999999997,2274.5389999999998,1846.7909999999997,100.0
"(-0.1372280597110456, 51.52227782936724)","(-0.12674028928169476, 51.51673897872382)","(-0.13641483507230792, 51.521368622405625)",1242.3400000000001,1138.1720000000003,482.258,38.81851988988521
"(-0.14577808183070365, 51.52665026294971)","(-0.13019943002227946, 51.52136790836621)","(-0.14454503922828674, 51.52568597312202)",2207.533000000001,1990.464,1745.337,79.06278184742875
"(-0.12678529621692677, 51.517993010075486)","(-0.1439507893564121, 51.5181875920314)","(-0.12711322967629188, 51.5181643249173)",1763.283,1624.0499999999997,1624.0499999999997,92.10376326432001
"(-0.13945171207422177, 51.53252071852211)","(-0.13933563353585685, 51.532548073313905)","(-0.1394767755787261, 51.53398011390455)",13.448,83.27199999999999,13.448,100.0
"(-0.12749504711641158, 51.527959167392154)","(-0.12055270355152754, 51.5217131936778)","(-0.12590295003707344, 51.526241806290805)",1900.729,1682.868,1682.868,88.53802935610494
"(-0.12718026496751816, 51.52762255544065)","(-0.14404136814140883, 51.53017005948113)","(-0.1275083321548609, 51.52932532284404)",2585.7580000000007,2264.1730000000002,1912.3229999999999,73.9559927881882
"(-0.14470287960466358, 51.52443801165808)","(-0.14363000638434117, 51.51964742654038)","(-0.14562462771469945, 51.52282601504223)",1124.94,583.1160000000001,583.1160000000001,51.835297882553746
"(-0.13183685826633157, 51.518162460287925)","(-0.12324289352062157, 51.51732134729405)","(-0.13042621461433587, 51.51738342581388)",795.595,1014.059,426.2419999999999,53.5752487132272
"(-0.12265569726889441, 51.5171830748493)","(-0.1295643430568978, 51.52560783875961)","(-0.12428702573988672, 51.51578727682389)",1436.583,1576.841,1216.961,84.71219553621336
"(-0.12428148088628498, 51.52698975450131)","(-0.12277482281664129, 51.52449085527516)","(-0.1256439361341219, 51.52659789449205)",252.525,342.52699999999993,252.525,100.0
"(-0.12435385297862955, 51.52321680177733)","(-0.13405579041942958, 51.53109799753535)","(-0.12578627761374706, 51.521609569316226)",1829.2319999999997,2030.1319999999998,806.32,44.07970120793864
"(-0.14600291178759117, 51.51999771785106)","(-0.13538568119713093, 51.5265314671092)","(-0.1461561832758646, 51.52156041829424)",1520.0950000000003,1191.401,1191.401,78.37674619020521
"(-0.12164132894692248, 51.52875809379146)","(-0.13537214793797556, 51.52261996620216)","(-0.12133700966876197, 51.52929022840637)",1659.722,1769.738,1390.177,83.75962962472028
"(-0.14279663689472857, 51.52027764161552)","(-0.1437268212668195, 51.52593697826191)","(-0.1416175133736256, 51.52083504114829)",800.2590000000001,881.0930000000001,308.83000000000004,38.59125608084383
"(-0.12448674687140987, 51.52617443693385)","(-0.14421507419541812, 51.52424786479427)","(-0.12342503022241912, 51.52762832061049)",2483.498999999999,1744.723,817.7180000000001,32.926045067865964
"(-0.12690993774797255, 51.523799296516486)","(-0.1345129141586482, 51.52610271204011)","(-0.12635785065108768, 51.52529890749812)",706.4289999999999,924.174,706.4289999999999,100.0
"(-0.13075251924067097, 51.52347153557162)","(-0.14161129103546632, 51.529605579378874)","(-0.13035276931800946, 51.522725428991244)",1525.705,1576.125,1525.705,100.0
"(-0.13584951907914863, 51.52425172308019)","(-0.14579993570244418, 51.52727436184643)","(-0.1356367336351094, 51.525544486810176)",1181.17,1095.42,927.3450000000001,78.51071395311429
"(-0.13245250984081577, 51.51566503354563)","(-0.13823711215035672, 51.5165996725486)","(-0.1309750936025446, 51.51468536521398)",570.898,570.898,570.898,100.0
"(-0.13169362108117627, 51.51875618740043)","(-0.1413514429859992, 51.51905145854067)","(-0.13103331972869953, 51.51876909557396)",1495.1309999999999,1447.5809999999997,1447.5809999999997,96.81967667047235
"(-0.13521502380045086, 51.52574398916827)","(-0.14077503532250585, 51.52218394873496)","(-0.13492634307022056, 51.527439366852754)",787.4830000000001,1331.2549999999999,787.4830000000001,100.0
"(-0.1320163697239341, 51.52594029534021)","(-0.14575902530017742, 51.526106277554675)","(-0.13031292977618758, 51.5258687163533)",1237.836,1464.9209999999998,1237.836,100.0
"(-0.13866549200138367, 51.52933108338072)","(-0.13504048099540544, 51.521325405893045)","(-0.13894256428455448, 51.527830647394275)",1302.1079999999997,756.213,620.144,47.62615697008237
"(-0.12744989630480882, 51.52791754892608)","(-0.14542667946433752, 51.51930639568602)","(-0.12802019362700956, 51.52661841481621)",2016.9719999999995,2234.645,2011.4279999999994,99.72513252538954
"(-0.13578373177895312, 51.52403183986473)","(-0.13758532560652317, 51.515775991920954)","(-0.13484888868455036, 51.522976736815686)",1372.255,1418.815,918.738,66.95096756798117
"(-0.13505599149664058, 51.522760802932076)","(-0.14477860434069859, 51.528574095871825)","(-0.13665517196036125, 51.52164774578233)",1653.784,1516.899,1169.5500000000002,70.71963448672862
"(-0.12290359038187934, 51.51763390349228)","(-0.12064035123824993, 51.51937785945206)","(-0.12206637317785565, 51.51939444345049)",277.51,79.694,38.628,13.919498396454182
"(-0.14101374407282272, 51.52425158227853)","(-0.14666461531381653, 51.52027639044223)","(-0.1398847636805882, 51.52480589564685)",957.8949999999998,2049.428,957.8949999999998,100.0
"(-0.1247323044569786, 51.521234265110536)","(-0.13472697231184988, 51.524422097135265)","(-0.12299823719166807, 51.51948565905388)",1308.6009999999999,1507.624,946.9029999999999,72.35994776100584
"(-0.13750412322330371, 51.52701093788806)","(-0.1441086114191921, 51.53006812937735)","(-0.13810642711180018, 51.52822628019528)",993.387,600.612,452.217,45.52274189213267
"(-0.14432820761367038, 51.52856567696052)","(-0.14027914424521934, 51.51785584419566)","(-0.14384696913310324, 51.529933601260964)",1443.2620000000004,1950.2269999999996,951.6820000000001,65.93965614004941
"(-0.12041725842757856, 51.52758543319085)","(-0.12219417711850444, 51.528240181338674)","(-0.12117277994290257, 51.52705074349804)",311.34999999999997,456.465,311.34999999999997,100.0
"(-0.13191534969351318, 51.51967281326682)","(-0.14216653914645574, 51.52691114705451)","(-0.1306778943955952, 51.51862822741857)",1795.021,1973.1100000000001,1519.9090000000003,84.67360548985224
"(-0.14361430291103683, 51.51960435104069)","(-0.13385414295278666, 51.52016497555434)","(-0.14348436698825043, 51.51869922830756)",1202.624,811.409,153.991,12.804583976371669
"(-0.12492145297343907, 51.516122945537674)","(-0.14224746626733714, 51.51901667775393)","(-0.12393812497380813, 51.5156424395208)",1814.062,2023.1149999999998,1814.062,100.0
